Runny nose,Cold
Sore throat,Cold
Dry Skin,Diabetes
Feeling very tired,Diabetes
Increased thirst,Diabetes
Frequent urination,Diabetes
Watery stools,Diarrhea
Bloody stools,Diarrhea
Bowel movements,Diarrhea
Dry Cough,Flu
Redness of eye,Pink Eye
Burning of eye,Pink Eye
Itching of eye,Pink Eye
Bloody nose,Tension
Chest Pain,Acne (pimples)
Cold,Acne (pimples)
Eye Problems,Acne (pimples)
Abdominal Pain,Allergic reaction
Chest Pain,Allergic reaction
Cold,Allergic reaction
Dental Problem,Allergic reaction
Loss of balance,Allergic reaction
Runny nose,Allergic reaction
Skin itching,Allergic reaction
Sleeping problem,Allergic reaction
Sneezing,Allergic reaction
Fever,Anxiety
Abdominal Pain,Anxiety
Chest Pain,Anxiety
Cough,Anxiety
Facial Pain,Anxiety
Headache,Anxiety
Overweight,Anxiety
Skin itching,Anxiety
Spontaneous bleeding,Anxiety
Weariness,Anxiety
Abdominal Pain,Appendicitis
Back Pain,Appendicitis
Overweight,Appendicitis
Abdominal Pain,Cellulitis
Abscess (Collection of pus),Cellulitis
Back Pain,Cellulitis
Chest Pain,Cellulitis
Cold,Cellulitis
Ear Problems,Cellulitis
Eye Problems,Cellulitis
Facial Pain,Cellulitis
Fever,Cellulitis
Hip Pain,Cellulitis
Leg Pain,Cellulitis
Muscle aches,Cellulitis
Sleeping problem,Cellulitis
Sneezing,Cellulitis
Vision Problem,Cellulitis
Chest Pain,Cholesterol
Back Pain,Cholesterol
Numbness,Cholesterol
Cold,Cholesterol
Cough,Cold
Sneezing,Cold
Abdominal Pain,Depression
Abnormal Heart Rate,Depression
Cough,Depression
Facial Pain,Depression
Headache,Depression
Seizure,Depression
Skin itching,Depression
Spontaneous bleeding,Depression
Weariness,Depression
Vision Problem,Diabetes
Numbness,Diabetes
Abdominal Pain,Diarrhea
Fever,Diarrhea
Abnormal Heart Rate,Flu
Back Pain,Flu
Fever,Flu
Headache,Flu
Shoulder Pain,Flu
Cold,Food allergy
Mouth Problems,Food allergy
Overweight,Food allergy
Skin itching,Food allergy
Abdominal Pain,Food poisoning
Overweight,Food poisoning
Abdominal Pain,Kidney stone
Arm Pain,Kidney stone
Facial Pain,Kidney stone
Overweight,Kidney stone
Swallowing problem (Dysphagia),Kidney stone
Abdominal Pain,Labyrinthitis
Chest Pain,Labyrinthitis
Overweight,Labyrinthitis
Vision Problem,Labyrinthitis
Abdominal Pain,Lactose intolerance
Headache,Lactose intolerance
Abdominal Pain,Migraine
Facial Pain,Migraine
Leg Pain,Migraine
Numbness,Migraine
Obesity,Migraine
Overweight,Migraine
Vision Problem,Migraine
Abscess (Collection of pus),Muscle strain
Facial Pain,Muscle strain
Fever,Muscle strain
Joint Pain,Muscle strain
Leg Pain,Muscle strain
Vision Problem,Muscle strain
Abdominal Pain,Myocardial infarction
Abscess (Collection of pus),Myocardial infarction
Arm Pain,Myocardial infarction
Fever,Myocardial infarction
Joint Pain,Myocardial infarction
Mouth Problems,Myocardial infarction
Overweight,Myocardial infarction
Skin itching,Myocardial infarction
Abdominal Pain,Scurvy
Abnormal Heart Rate,Scurvy
Abdominal Pain,Sinusitis
Back Pain,Sinusitis
Chest Pain,Sinusitis
Leg Pain,Sinusitis
Shoulder Pain,Sinusitis
Skin itching,Sinusitis
Abdominal Pain,Stress
Abnormal Heart Rate,Stress
Facial Pain,Stress
Headache,Stress
Skin itching,Stress
Spontaneous bleeding,Stress
Weariness,Stress
Frequent urination,Tension
Headache,Tension
Ear Problems,Tension
Chest Pain,Tonsillitis
Ear Problems,Tonsillitis
Leg Pain,Tonsillitis
Overweight,Tonsillitis
Skin itching,Tonsillitis
Abdominal Pain,Viral infections
Chest Pain,Viral infections
Cold,Viral infections
Leg Pain,Viral infections
Overweight,Viral infections
Shakes,Viral infections
Shoulder Pain,Viral infections
Skin itching,Viral infections
