Abdominal Pain,Alcohol (ethanol) intoxication
Abdominal Pain,Alcohol (ethanol) poisoning (overdose)
Abdominal Pain,Alcohol withdrawal syndrome (mild)
Abdominal Pain,Cirrhosis (liver failure and scarring)
Abdominal Pain,Delirium tremens (DTs severe alcohol withdrawal)
Abdominal Pain,Depression (excessive sadness)
Abdominal Pain,Gastric ulcer (stomach ulcer)
Abdominal Pain,Major depressive disorder (severe depression)
Abdominal Pain,Marijuana use
Abdominal Pain,Narcotic (morphine heroin) abuse
Abdominal Pain,Pancreatitis (pancreas inflammation)
Abdominal Pain,Phobias (irrational fear)
Abdominal Pain,Prescription drug abuse
Abdominal Pain,Schizophrenia (chronic impaired reality perception)
Abdominal Pain,Appendicitis
Abdominal Pain,Bladder infection (cystitis UTI urinary tract infection)
Abdominal Pain,Bowel obstruction (intestinal blockage)
Abdominal Pain,Bronchitis (bronchial tube infection)
Abdominal Pain,Celiac disease (celiac sprue)
Abdominal Pain,Cellulitis (skin infection)
Abdominal Pain,Cholecystitis (inflammation of the gallbladder)
Abdominal Pain,Choledocholithiasis (stone in bile duct)
Abdominal Pain,Cholelithiasis (gallstones)
Abdominal Pain,Colonic diverticulitis (inflammation of pouches in the large intestine)
Abdominal Pain,Constipation
Abdominal Pain,Costochondritis (chest wall inflammation)
Abdominal Pain,Dissecting aortic aneurysm (tearing and dilation of the aorta)
Abdominal Pain,Diverticulosis (weakening of the large intestine wall)
Abdominal Pain,Endometriosis (uterine tissue outside the uterus)
Abdominal Pain,Esophageal stricture (narrowing of the esophagus)
Abdominal Pain,Esophagitis (esophageal inflammation)
Abdominal Pain,Gallbladder cancer
Abdominal Pain,Gastric ulcer (stomach ulcer)
Abdominal Pain,Gastritis (stomach inflammation)
Abdominal Pain,Gastroenteritis (intestinal infection)
Abdominal Pain,Gastroesophageal reflux (GERD heartburn)
Abdominal Pain,Gastroparesis (stomach muscle malfunction)
Abdominal Pain,Hernia
Abdominal Pain,Hiatal hernia (stomach pushes through diaphragm)
Abdominal Pain,Inguinal hernia (groin hernia)
Abdominal Pain,Irritable bowel syndrome (IBS chronic intestinal pain and cramping)
Abdominal Pain,Kidney stone (nephrolithiasis)
Abdominal Pain,Lactose intolerance
Abdominal Pain,Ligament sprain (connection between two bones)
Abdominal Pain,Pancreas inflammation (pancreatitis chronic)
Abdominal Pain,Pancreatitis (pancreas inflammation)
Abdominal Pain,Pneumonia (lung infection)
Abdominal Pain,Polycystic kidney disease (inherited kidney disorder)
Abdominal Pain,Pyelonephritis (kidney infection)
Abdominal Pain,Shingles (herpes zoster)
Abdominal Pain,Splenic infarction (death of spleen)
Abdominal Pain,Stomach cancer (gastric cancer)
Abdominal Pain,Umbilical hernia (belly button hernia)
Abdominal Pain,Unstable angina (pre heart attack chest pain)
Abdominal Pain,Ventral hernia (bulging of the abdominal wall)
Abdominal Pain,Altitude illness
Abdominal Pain,Anxiety disorder (generalized anxiety disorder GAD)
Abdominal Pain,Arnold Chiari malformation
Abdominal Pain,Bacterial dysentery (bacterial infection of the intestines)
Abdominal Pain,Bladder infection (cystitis UTI urinary tract infection)
Abdominal Pain,Carbon monoxide poisoning (odorless poisonous gas)
Abdominal Pain,Celiac disease (celiac sprue)
Abdominal Pain,Cholelithiasis (gallstones)
